Time [s];Raw Voltage [V];Calibrated Force [mN];Frequency [Hz]
3729186391.232;0.00342;4.68909;1.83954
3729186391.242;0.00337;0.27998;1.85663
3729186391.252;0.00334;-2.23951;1.84798
3729186391.262;0.00336;-0.66483;1.85739
3729186391.272;0.00336;-0.34989;1.86394
3729186391.282;0.00335;-1.60964;1.88101
3729186391.292;0.00333;-3.8142;1.89479
3729186391.302;0.00335;-1.92458;1.89383
3729186391.312;0.00334;-2.23951;1.91212
3729186391.322;0.00333;-3.18432;1.91322
3729186391.332;0.00336;-0.97977;1.90318
3729186391.342;0.00337;0.59491;1.89943
3729186391.352;0.00336;-0.66483;1.88367
3729186391.362;0.00336;-0.66483;1.89636
3729186391.372;0.00335;-1.92458;1.90057
3729186391.382;0.00334;-2.55445;1.87233
3729186391.392;0.00337;-0.03496;1.86941
3729186391.402;0.00337;0.59491;1.85654
3729186391.412;0.00337;-0.03496;1.84632
3729186391.422;0.00337;0.59491;1.83779
3729186391.432;0.00351;14.13718;1.83376
3729186391.442;0.00338;0.90985;1.84272
3729186391.452;0.00335;-1.2947;1.82953
3729186391.462;0.00336;-0.34989;1.80444
3729186391.472;0.00342;4.68909;1.79631
3729186391.482;0.00335;-1.92458;1.78569
3729186391.492;0.00351;13.50731;1.76678
3729186391.502;0.00331;-5.70381;1.76251
3729186391.512;0.00338;1.22479;1.7426
3729186391.522;0.00337;-0.03496;1.72774
3729186391.532;0.00342;4.68909;1.71898
3729186391.542;0.00337;-0.03496;1.71245
3729186391.552;0.00341;4.37415;1.74713
3729186391.562;0.0034;3.42934;1.78121
3729186391.572;0.00342;4.68909;1.79092
3729186391.582;0.00343;6.57871;1.8256
3729186391.592;0.00343;6.26377;1.84651
3729186391.602;0.00342;4.68909;1.86129
3729186391.612;0.00337;-0.03496;1.86759
3729186391.622;0.00337;0.27998;1.85881
3729186391.632;0.00339;2.1696;1.8608
3729186391.642;0.00336;-0.34989;1.857
3729186391.652;0.00335;-1.92458;1.83064
3729186391.662;0.00333;-3.18432;1.82805
3729186391.672;0.00333;-3.49926;1.82964
3729186391.682;0.00338;0.90985;1.8253
3729186391.692;0.00334;-2.86939;1.82769
3729186391.702;0.00339;2.48453;1.81504
3729186391.712;0.00335;-1.60964;1.82476
3729186391.722;0.00336;-0.97977;1.83432
